"Indicator type","Indicator","Description"
"URL","http://analytics.build38.io",""
"URL","http://dev.skillwill.ge",""
"URL","http://download.azure-drive.com/",""
"URL","http://gobluewave.com",""
"URL","http://insights.build38.io",""
"URL","http://macro.azure-drive.com/",""
"URL","http://registry.build38.io",""
"URL","http://verify.azure-drive.com/",""
"URL","http://wordcloudviewer.hl-now.de",""
"URL","http://ww1.pixarworks.com",""
"URL","http://www.optime.hl-now.de",""
"URL","http://yourcustomorder.com",""
"URL","https://analytics.build38.io",""
"URL","https://fd471sx.disknxt.com/",""
"URL","https://fe6beb71c.disknxt.com/","b0c74189186cde3e890a4b8df7236ae75e2f123ada5d734de19296226b43bb9d"
"URL","https://insights.build38.io",""
"URL","https://registry.build38.io",""
"URL","https://wordcloudviewer.hl-now.de",""
"URL","https://ww1.pixarworks.com",""
"URL","https://www.optime.hl-now.de",""
"CIDR","185.99.132.0/24",""
"CIDR","185.99.133.0/24",""
"CIDR","185.99.134.0/24",""
"FileHash-MD5","0c5bea38e8ee4142abc2373ace239b8c",""
"FileHash-MD5","152ded1ecb364fd1974fae896f4ae999",""
"URL","http://185.159.158.0",""
"URL","http://47.23.89.60:993",""
"URL","http://86.97.247.37:1194",""
"URL","http://96631.ns3.microsoft-support.net",""
"URL","http://alrwork.egscorp.net",""
"URL","http://alrwork.egscorp.net/",""
"URL","http://alza.cz.download.cloudlstorage.com/",""
"URL","http://api.a.stg.toyou.amhub.org",""
"URL","http://api.menuu.dev-bulbera.com",""
"URL","http://bfyl.pixarworks.com",""
"URL","http://bifrost.gateway.dwebops.net",""
"URL","http://bit.ly.cloudlstorage.com/",""
"URL","http://boe.pixarworks.com",""
"URL","http://bootstrap.dwebops.net",""
"URL","http://cat.hbwrapper.com",""
"URL","http://cat.hbwrapper.com/",""
"URL","http://cat1.hbwrapper.com",""
"URL","http://cat2.hbwrapper.com",""
"URL","http://cat2.hbwrapper.com/",""
"URL","http://cat3.hbwrapper.com",""
"URL","http://cloudlstorage.com/update.msi",""
"URL","http://cluster.dwebops.net",""
"URL","http://cms-dev.menuu.dev-bulbera.com",""
"URL","http://cms-qa.menuu.dev-bulbera.com",""
"URL","http://cms-staging.menuu.dev-bulbera.com",""
"URL","http://collab-cluster-sv15-2.cluster.dwebops.net/",""
"URL","http://cpu.itaiwans.com/",""
"URL","http://csbc.itaiwans.com",""
"URL","http://customerservice.livera.nl",""
"URL","http://dc-1fbadffa953e.limyonly.me",""
"URL","http://dc-1fbadffa953e.limyonly.me/",""
"URL","http://dc-79a2350418d0.limyonly.me",""
"URL","http://dc-79a2350418d0.limyonly.me/",""
"URL","http://dfp.build38.io",""
"URL","http://dfp.build38.io/",""
"URL","http://dfp.build38.io/S",""
"URL","http://digitalcyberacademy.com",""
"URL","http://dir.blog?ux.com",""
"URL","http://dnsbl.spfbl.net",""
"URL","http://drive.com/07ma_Au4+/Yw4eJeQPBd/Mc2+9HmC/tEEpDOXyWw/ebmlHbfcsv/4CYQUEdr2Z/xdkvHBA",""
"URL","http://forest.itaiwans.com",""
"URL","http://frontend-dev.menuu.dev-bulbera.com",""
"URL","http://frontend-qa.menuu.dev-bulbera.com",""
"URL","http://frontend-staging.menuu.dev-bulbera.com",""
"URL","http://g-ns-1837.awsdns-41.co.uk",""
"URL","http://ga.menuu.dev-bulbera.com",""
"URL","http://gateway.dwebops.net",""
"URL","http://gateway.dwebops.net/",""
"URL","http://gdrive.azure-drive.com",""
"URL","http://hotpot.itaiwans.com/",""
"URL","http://ipfs-bank1-dc13.ipfs.gateway.dwebops.net/",""
"URL","http://ipfs-bank6-dc13.ipfs.gateway.dwebops.net/",""
"URL","http://ipfs.gateway.stage.dwebops.net",""
"URL","http://klantenservice.livera.nl",""
"URL","http://kubo-staging-us-east-01.ovh.dwebops.net",""
"URL","http://library.itaiwans.com",""
"URL","http://library.itaiwans.com/",""
"URL","http://m2o9s8.cj93pisk03kds5.xyz",""
"URL","http://mail.materapaper.com/a/index.php",""
"URL","http://mail.materapaper.com/index.php",""
"URL","http://menuu.dev-bulbera.com",""
"URL","http://neptune-dev.dev-bulbera.com/",""
"URL","http://nft.dwebops.net",""
"URL","http://nft3-storage-am6-1.nft3.dwebops.net",""
"URL","http://nft3-storage-am6-5.nft3.dwebops.net",""
"URL","http://nft3-storage-am6-5.nft3.dwebops.net/",""
"URL","http://nft3-storage-dc13-8.nft3.dwebops.net/",""
"URL","http://nft3-storage-sv15-10.nft3.dwebops.net/",""
"URL","http://nft3-storage-sv15-5.nft3.dwebops.net/",""
"URL","http://nft3-storage-sv15-9.nft3.dwebops.net/",""
"URL","http://nl.livera.nl",""
"URL","http://ns-11871.awsdns-41.co.uk",""
"URL","http://ns-1866.awsdns-41.co.uk",""
"URL","http://ns-1867.awsdns-41.co.uk",""
"URL","http://ns-1867.awsdns-41.co.uk/",""
"URL","http://ns-1868.awsdns-41.co.uk",""
"URL","http://ns-1869.awsdns-41.co.uk",""
"URL","http://ns-1870.awsdns-41.co.uk",""
"URL","http://ns-1871.awsdns-41.co.uk/",""
"URL","http://ns-1872.awsdns-41.co.uk",""
"URL","http://ns1.limyonly.me",""
"URL","http://ns1.limyonly.me/",""
"URL","http://ns10.microsoft-support.net/","0d3e98ca727fc1201b436170af5a63f23348aaf146a3ac6234f6c4da283e8b34"
"URL","http://ns2.limyonly.me",""
"URL","http://ns2.limyonly.me/",""
"URL","http://nspo.itaiwans.com",""
"URL","http://nuedigital.hl-now.de",""
"URL","http://otpot.itaiwans.com/",""
"URL","http://paris.cavanic9.net/",""
"URL","http://portal101.cn",""
"URL","http://px.livera.nl",""
"URL","http://rakuten.download.cloudlstorage.com",""
"URL","http://rebaseapp.com/",""
"URL","http://rmm.egscorp.net",""
"URL","http://rmm.egscorp.net/",""
"URL","http://ssl912569.cloud?aressl.com",""
"URL","http://sst2.livera.nl",""
"URL","http://staging.api.app.getnuri.dev",""
"URL","http://stressbot.tk",""
"URL","http://support.microsoft-support.net/",""
"URL","http://tycg.itaiwans.com/",""
"URL","http://u8ey0s2l3d10.i7y8uxm02pls2.xyz/",""
"URL","http://u8ey0s2l3d42.i7y8uxm02pls2.xyz",""
"URL","http://update.ankining.com",""
"URL","http://update.ankining.com/",""
"URL","http://verify.azure-drive.com",""
"URL","http://web3-storage-am6-4.web3.dwebops.net/",""
"URL","http://web3-storage-sv15-5.web3.dwebops.net/",""
"URL","http://wmjdvu.limyonly.me",""
"URL","http://wmjdvu.limyonly.me/",""
"URL","http://ww1.azure-drive.com/",""
"URL","http://ww1.cloudlstorage.com",""
"URL","http://ww1.microsoft-support.net",""
"URL","http://ww12.microsoft-support.net",""
"URL","http://www.10fdd534f.3799e44c4.66521.ns3.microsoft-support.net",""
"URL","http://www.ankining.com/",""
"URL","http://www.cavanic9.net/",""
"URL","http://www.la?nestrasulcielo.es",""
"URL","http://www.materapaper.com/",""
"URL","http://www.materapaper.com/about-matera-paper-company",""
"URL","https://21947.ns3.microsoft-support.net",""
"URL","https://42132.ns3.microsoft-support.net",""
"URL","https://51317.ns3.microsoft-support.net",""
"URL","https://72474.ns3.microsoft-support.net",""
"URL","https://96631.ns3.microsoft-support.net",""
"URL","https://alrwork.egscorp.net",""
"URL","https://alrwork.egscorp.net/",""
"URL","https://alza.cz.download.cloudlstorage.com/",""
"URL","https://api.040ea135d.2034ff2.ns3.microsoft-support.net",""
"URL","https://api.egscorp.net/",""
"URL","https://api.menuu.dev-bulbera.com",""
"URL","https://authenticate.azure",""
"URL","https://authenticate.azure-drive.com/",""
"URL","https://bfyl.pixarworks.com",""
